Threads,Thread Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,moonlighter_sg wrote: The whole world knows india is full of virus. Only ours dont know lol,28/2/21,15,Circuit Breaker,16,1,-12.9752697,4,0,1,20.83225589,3,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,HK not as daft as sinkies,28/2/21,6,Circuit Breaker,6,0,-13.61900447,0,0,0,36.84829056,4,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,"cleffa3000 wrote: Only ours dont know lol 11 million infected cases in India , are we blind? Tiagong they are getting better in handling the virus now",28/2/21,25,Circuit Breaker,26,2,-12.33804896,8,0,2,26.40715086,3,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,Curse Ong at work again,28/2/21,5,Circuit Breaker,5,0,-13.08916898,0,0,0,36.26203009,4,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,better lock this unknown guy up and stitch his mouth to prevent him from saying anything to jink anything up!,28/2/21,20,Circuit Breaker,20,1,-11.37341322,4,1,0,23.61550797,3,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,matey1982 wrote: there goes OYK's chance / hope liao! there are other countries BUT WHETHER THEY WANT TRAVEL BUBBLE IS ANOTHER ISSUE WITH US,28/2/21,22,Circuit Breaker,23,1,-16.09454536,5,1,0,6.793444478,1,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,"Hongkies stupid la, no test no case ma",28/2/21,8,Circuit Breaker,8,0,-14.13005969,2,0,0,20.83225589,3,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,Another sobre reminder to OYK.,28/2/21,5,Circuit Breaker,5,0,-14.45417116,1,0,0,36.84829056,4,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,tio jinx by the unknown man again rah https://forums.hardwarezone.com.sg/e...l-6473707.html,28/2/21,8,Circuit Breaker,8,0,-16.81186708,0,0,0,26.8352074,3,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,"don't think it will happen by this yr. HK so far vaccinated 6k of his people a day only. at the rate its going, it will take a few yrs to complete the vaccination.",28/2/21,32,Circuit Breaker,34,2,-10.53454925,5,0,0,16.61032234,2,0,1
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,"tankgunner wrote: don't think it will happen by this yr. HK so far vaccinated 6k of his people a day only. at the rate its going, it will take a few yrs to complete the vaccination. jsut started this week.. progressively adding vaccine stations and Fosun Biontech just arrived from Germany yesterday",28/2/21,50,Circuit Breaker,52,3,-11.91976116,9,1,0,5.653058077,1,0,1
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,"that was OYK's come last chance to be in line for the throne i guess he will retire soon as an unknown in history now we will remember years from now and our children's children will read history books that talk about fumblers, liars and jlbs as heroes of the 21st century. founders will have a memorial and over years will become deities (just like old China generals) unless",28/2/21,66,Circuit Breaker,69,3,-11.0910981,8,2,3,3.839488881,0,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,Heng i nv buy ticket.  ..,28/2/21,5,Circuit Breaker,5,0,-15.83448787,1,0,1,26.8352074,3,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,moi stuck in honkieland.. >1yr  no cum back liao,28/2/21,8,Circuit Breaker,9,0,-16.14874807,1,0,0,36.84829056,4,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,cleffa3000 wrote: Only ours dont know lol Of course ours know about India cases. Just that ours put $$$ on TOP of sinkies pathetic lives.,28/2/21,24,Circuit Breaker,24,1,-13.45772623,5,0,2,10.32828976,2,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,orhneeorh wrote: jsut started this week.. progressively adding vaccine stations and Fosun Biontech just arrived from Germany yesterday their people also not very receptive in the jab.,28/2/21,27,Circuit Breaker,27,2,-13.14548422,4,2,0,9.120904641,1,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,Please cancel all travel bubble plans until you stop the imports of foreign covid cases.,28/2/21,15,Circuit Breaker,15,1,-12.17676169,3,0,1,26.40715086,3,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,Was hoping oyk can become pm but he is really jinx so not good for sg,28/2/21,16,Circuit Breaker,16,1,-12.55894002,3,1,0,26.8352074,3,0,0
Is the 50% staff WFH strictly enforced?,21/2/21 13:10,Now boss like close one eye and implicitly assume staff will auto come office...,19/2/21,14,Circuit Breaker,14,1,-11.73470188,1,1,0,26.8352074,3,0,0
Is the 50% staff WFH strictly enforced?,21/2/21 13:10,My boss today WFH hee hee,19/2/21,6,Circuit Breaker,6,0,-17.0797976,0,0,0,23.61550797,3,0,0
Is the 50% staff WFH strictly enforced?,21/2/21 13:10,My boss ti ti work from home,19/2/21,7,Circuit Breaker,7,0,-13.63625769,0,0,0,22.82553179,3,0,0
Is the 50% staff WFH strictly enforced?,21/2/21 13:10,"Shouldn't the staff communicate clearly to the boss on the allocation of WFH days vs office -work days for the week? Then no one needs to assume anything You think, I thought, who confirm?",19/2/21,33,Circuit Breaker,34,2,-11.08136366,7,0,2,9.903676034,1,0,0
Is the 50% staff WFH strictly enforced?,21/2/21 13:10,Can always report to MOM for action. Don't hesitate and go do it.,19/2/21,12,Circuit Breaker,13,1,-10.67421873,3,1,0,56.27175551,4,0,0
Is the 50% staff WFH strictly enforced?,21/2/21 13:10,My side still follow law.  No problems.,19/2/21,7,Circuit Breaker,7,0,-10.36653351,0,1,0,36.84829056,4,0,0
